60_50;60_49;60_48
42_55;42_56
43_65;43_64
20_43;21_43
38_77;37_77
60_55;59_55
73_22;74_22
58_43;57_43
48_32;48_33;47_33;47_34
69_23;69_22
33_48
68_51;67_51
10_72;11_71;12_71
30_63;30_62;31_63
34_15;33_15
31_36;31_37;32_37
39_56;39_57
38_65;37_65
52_16
51_26;51_25;50_25
11_45
37_38;37_37
55_42
72_14;72_15
30_37;30_36
22_56;21_56
30_37
48_40;48_39;47_39
34_35
63_54;63_53
52_59
76_38;76_37
28_50;28_49
64_63;64_64;63_64
55_48
27_37;28_37
66_22;67_22
65_19;65_18;64_18
54_50
26_69;25_69;25_68;24_68
42_29;43_29
18_58;18_57
39_59;39_58;39_57;40_56
36_52;35_51
26_44;25_44
51_50
20_59;21_59
43_46;43_45
15_81;14_82
42_33
29_70;29_69
51_10;51_11
51_61;51_60
72_27;71_27
69_36;70_36
78_18;77_18;77_17
52_59;52_60;53_60;54_60
26_75;27_75
45_43;44_43
72_19
36_32
60_30;60_29
48_32;49_32
30_34;30_35
56_34;55_34;54_33
53_50
42_70;42_69;42_68
38_40;37_40
72_21;73_21
41_53;41_52
43_38;43_39
34_22;35_22
53_45;52_45;51_45
33_49
27_70;28_71;28_70
20_58;21_59
36_58;35_58
38_55;38_54
30_49;30_48
77_15
32_39;31_39;31_38
37_49
40_54;40_55
30_43;30_42
26_43;26_44
57_56;56_57;57_57
37_62;38_62;38_61
63_37
39_52;40_52
53_53;53_54;53_55
10_42;11_42
35_41;35_40
20_64;19_64;18_65
30_43;29_42
37_62;36_63;36_62
43_35
33_37
70_25;70_26
31_37;32_37;33_38
43_57
58_40;59_40;59_41
63_18;63_17
52_59;52_58;52_57
49_42;50_42
72_26;71_26
48_23;49_23
62_54;62_53
56_51;57_51;57_52
32_62;32_61
27_63;27_64
32_33;33_32
42_33;42_32
57_44;58_44
51_34;52_33
17_40;17_41;18_41
53_41;52_41;52_42
45_12
65_20
34_28;35_27
56_57;56_58;57_58;56_59
21_87
37_48;36_48
48_32;49_32
71_13
66_44;67_44;67_43
69_23;69_24
28_72;29_72
43_55;42_55
29_42;28_42
40_50
32_35;32_36
19_54;20_54
26_73
36_46
54_38;53_38
30_61;30_62
51_27;50_27
55_45
77_14;78_14;78_13
60_53;60_52;60_51;60_50
56_21
52_19;52_20;52_21
43_50
49_36;49_37;48_37
62_39;62_38
11_44;12_44;12_45
67_41
60_56
36_36;36_35
29_53;28_53
72_42;72_41;71_41
53_51;53_50
15_50;15_49
72_25;71_24
37_63;37_62;38_61
28_50;29_50
14_44
69_44;68_44;67_44
28_40;28_41
66_29;66_28
70_26;69_27;69_28
46_41;46_42
46_53;45_53
33_43
51_50;51_49;50_49
33_48;32_48
63_40;62_39
64_16
34_45
15_45;15_46
36_40;35_40
69_43;68_43
52_33;51_33;50_33
62_18;62_17;63_17
27_71;28_71;28_70
37_45;37_44;36_44
53_12
28_62;29_61
39_57
76_34;76_35
33_39
51_21;51_20;52_21
72_45
31_35;30_36
37_71;36_71;35_70
56_55;57_55
74_20;73_20
76_54;76_53
60_16;61_16
34_48;33_48;33_49
40_32;40_33
36_44;35_44;34_45;35_45
11_46;12_46
33_15;32_16;33_16
32_31;33_31
19_87;20_87
64_62;65_62;65_63
28_48;28_47
15_43;16_43
20_61;21_61;22_62
